Timestamp,Disease,Split_Salt,K,Best_Features,Formula,Baseline_AUC_PR,Baseline_AUC_ROC
2026-05-26 01:18:52,ra,,13,"plt,wbc,neut_pct,lym_pct,eos_pct,rdw,mcv,mono_pct,mchc,hct,mch,rbc,hgb",logit(p) = -0.0142 + (0.0018 * plt) - (0.0075 * wbc) - (0.0035 * neut_pct) + (0.0018 * lym_pct) + (0.0432 * eos_pct) + (0.0658 * rdw) - (0.0227 * mcv) - (0.1039 * mono_pct) - (0.0239 * mchc) - (0.0808 * hct) + (0.0990 * mch) + (0.0610 * rbc) + (0.1635 * hgb),0.0148,0.6608
2026-05-26 01:18:52,ra,,14,"plt,wbc,neut_pct,lym_pct,eos_pct,rdw,mcv,mono_pct,mchc,hct,mch,rbc,hgb,baso_pct",logit(p) = -0.0095 + (0.0019 * plt) - (0.0087 * wbc) - (0.0039 * neut_pct) + (0.0033 * lym_pct) + (0.0535 * eos_pct) + (0.0681 * rdw) - (0.0329 * mcv) - (0.1015 * mono_pct) - (0.0240 * mchc) - (0.0515 * hct) + (0.1282 * mch) + (0.0140 * rbc) + (0.0993 * hgb) - (0.3650 * baso_pct),0.0155,0.6705
2026-05-26 01:29:31,crhn,,1,plt,logit(p) = -0.9731 + (0.0038 * plt),0.0181,0.5786
2026-05-26 01:29:31,crhn,,2,"plt,wbc",logit(p) = -0.5656 + (0.0042 * plt) - (0.0533 * wbc),0.0137,0.5622
2026-05-26 01:29:31,crhn,,3,"mcv,plt,wbc",logit(p) = 2.4171 - (0.0325 * mcv) + (0.0039 * plt) - (0.0524 * wbc),0.0145,0.5613
2026-05-26 01:29:31,crhn,,4,"mcv,plt,wbc,mono_pct",logit(p) = 3.2625 - (0.0332 * mcv) + (0.0040 * plt) - (0.0689 * wbc) - (0.1089 * mono_pct),0.0153,0.6192
2026-05-26 01:29:31,crhn,,5,"mcv,plt,rdw,wbc,baso_pct",logit(p) = 3.3477 - (0.0334 * mcv) + (0.0039 * plt) - (0.0438 * rdw) - (0.0581 * wbc) - (0.4150 * baso_pct),0.0154,0.5855
2026-05-26 01:29:31,crhn,,6,"mcv,plt,rdw,wbc,baso_pct,neut_pct",logit(p) = 2.8904 - (0.0339 * mcv) + (0.0039 * plt) - (0.0469 * rdw) - (0.0644 * wbc) - (0.3221 * baso_pct) + (0.0080 * neut_pct),0.0146,0.5771
2026-05-26 01:29:31,crhn,,7,"mcv,plt,rdw,wbc,baso_pct,neut_pct,lym_pct",logit(p) = 2.1428 - (0.0333 * mcv) + (0.0039 * plt) - (0.0430 * rdw) - (0.0629 * wbc) - (0.3241 * baso_pct) + (0.0142 * neut_pct) + (0.0095 * lym_pct),0.0143,0.5806
2026-05-26 01:29:31,crhn,,8,"mcv,plt,rdw,wbc,baso_pct,neut_pct,lym_pct,hct",logit(p) = 1.6627 - (0.0335 * mcv) + (0.0039 * plt) - (0.0319 * rdw) - (0.0640 * wbc) - (0.3563 * baso_pct) + (0.0141 * neut_pct) + (0.0090 * lym_pct) + (0.0112 * hct),0.0142,0.5803
2026-05-26 01:29:31,crhn,,9,"mcv,plt,rdw,wbc,baso_pct,neut_pct,lym_pct,hct,eos_pct",logit(p) = 0.0094 - (0.0316 * mcv) + (0.0038 * plt) - (0.0252 * rdw) - (0.0611 * wbc) - (0.4368 * baso_pct) + (0.0279 * neut_pct) + (0.0220 * lym_pct) + (0.0122 * hct) + (0.0783 * eos_pct),0.0141,0.5732
2026-05-26 01:29:31,crhn,,10,"mcv,plt,rdw,wbc,baso_pct,neut_pct,lym_pct,hct,eos_pct,rbc",logit(p) = 0.0099 - (0.0343 * mcv) + (0.0038 * plt) - (0.0210 * rdw) - (0.0607 * wbc) - (0.4500 * baso_pct) + (0.0294 * neut_pct) + (0.0238 * lym_pct) + (0.0229 * hct) + (0.0808 * eos_pct) - (0.0878 * rbc),0.0141,0.5731
2026-05-26 01:29:31,crhn,,11,"mcv,plt,rdw,wbc,baso_pct,neut_pct,lym_pct,hct,eos_pct,rbc,mchc",logit(p) = -0.2621 - (0.0873 * mcv) + (0.0043 * plt) + (0.0011 * rdw) - (0.0627 * wbc) - (0.4233 * baso_pct) + (0.0150 * neut_pct) + (0.0068 * lym_pct) + (0.1338 * hct) + (0.0664 * eos_pct) - (1.1567 * rbc) + (0.1888 * mchc),0.0176,0.6034
