formula,auc_roc,auc_pr,precision,recall,f1,f2,precision_at_recall_25,precision_at_recall_50,precision_at_recall_75,num_features
((((((sqrt(abs(mch))) - (sqrt(abs(hgb)))) / (abs(sqrt(abs(wbc)))+1e-6)) * (sqrt(abs(rbc)))) - (mcv)) / (abs(log(abs(hct)+1))+1e-6)) - (log(abs(plt)+1)),0.571,0.016,0.012,0.5333,0.0234,0.0549,0.013,0.0119,0.0117,7
(((((((((rdw**2)) / (abs(rbc)+1e-6)) * (sqrt(abs(mchc)))) + (wbc)) - (hgb)) / (abs(log(abs(hct)+1))+1e-6)) * (plt)) * (log(abs(mch)+1))) * (sqrt(abs(mcv))),0.6391,0.016,0.0151,0.6467,0.0296,0.0692,0.018,0.0172,0.0139,9
((((hgb**2)) - (mch)) / (abs((mcv**2))+1e-6)) * (hct),0.5792,0.016,0.013,0.6967,0.0254,0.0603,0.0123,0.0123,0.0126,4
((rbc) / (abs(log(abs(hct)+1))+1e-6)) / (abs((mch**2))+1e-6),0.5675,0.016,0.0126,0.4767,0.0245,0.0569,0.0146,0.0121,0.0117,3
(((((((hgb) / (abs(log(abs(hct)+1))+1e-6)) + (rdw)) * (sqrt(abs(plt)))) + (log(abs(mchc)+1))) * ((mcv**2))) * (sqrt(abs(mch)))) / (abs(sqrt(abs(rbc)))+1e-6),0.6271,0.016,0.0172,0.5133,0.0332,0.0757,0.018,0.0162,0.0126,8
(((hct) / (abs(mch)+1e-6)) / (abs(sqrt(abs(plt)))+1e-6)) * (log(abs(rbc)+1)),0.6151,0.016,0.0146,0.5967,0.0284,0.0663,0.0173,0.0156,0.0126,4
((((((sqrt(abs(hct))) - (log(abs(rdw)+1))) * (mcv)) + ((mchc**2))) * (log(abs(mch)+1))) + (sqrt(abs(plt)))) / (abs(rbc)+1e-6),0.5831,0.0159,0.0127,0.4667,0.0247,0.0572,0.0142,0.0129,0.0121,7
(((((hgb) - ((mch**2))) + (log(abs(hct)+1))) / (abs(sqrt(abs(rbc)))+1e-6)) - (plt)) - (sqrt(abs(mcv))),0.6105,0.0159,0.0146,0.59,0.0284,0.0662,0.019,0.0151,0.0124,6
(((((((mcv**2)) - (wbc)) - (log(abs(hgb)+1))) / (abs((rdw**2))+1e-6)) / (abs(plt)+1e-6)) - (log(abs(mch)+1))) + (sqrt(abs(rbc))),0.6321,0.0159,0.0155,0.6167,0.0302,0.0703,0.0173,0.0164,0.0132,7
(((sqrt(abs(mchc))) * ((mch**2))) * (hct)) / (abs((rbc**2))+1e-6),0.568,0.0159,0.0124,0.4833,0.0241,0.056,0.0145,0.0121,0.0116,4
((((((mch) * (log(abs(plt)+1))) / (abs(rbc)+1e-6)) * ((mchc**2))) + (log(abs(mcv)+1))) + (sqrt(abs(hct)))) - (sqrt(abs(wbc))),0.6084,0.0159,0.0136,0.56,0.0266,0.0622,0.0181,0.0145,0.0124,7
((hgb) - (sqrt(abs(mchc)))) * ((hct**2)),0.5762,0.0159,0.0129,0.69,0.0254,0.0602,0.0123,0.0132,0.0121,3
((((mchc**2)) / (abs(log(abs(mch)+1))+1e-6)) * (log(abs(plt)+1))) / (abs(sqrt(abs(hct)))+1e-6),0.5973,0.0159,0.0132,0.57,0.0259,0.0606,0.0174,0.015,0.0117,4
((((log(abs(mchc)+1)) / (abs(log(abs(hct)+1))+1e-6)) * (sqrt(abs(mcv)))) * (rbc)) + (log(abs(plt)+1)),0.5779,0.0159,0.0129,0.6667,0.0253,0.0598,0.0121,0.0128,0.0125,5
((rbc) - (sqrt(abs(hct)))) / (abs(log(abs(hgb)+1))+1e-6),0.5726,0.0159,0.0128,0.57,0.025,0.0587,0.0129,0.013,0.0117,3
((((((sqrt(abs(rdw))) * (mcv)) / (abs((rbc**2))+1e-6)) / (abs(log(abs(mch)+1))+1e-6)) * (plt)) * (log(abs(hgb)+1))) - (mchc),0.6206,0.0159,0.0156,0.54,0.0304,0.0701,0.0185,0.0161,0.0129,7
(((((((log(abs(rbc)+1)) * ((mch**2))) * (sqrt(abs(hct)))) - (sqrt(abs(rdw)))) - (sqrt(abs(mcv)))) + (log(abs(wbc)+1))) - (log(abs(mchc)+1))) / (abs(hgb)+1e-6),0.5444,0.0159,0.0124,0.27,0.0237,0.0524,0.0124,0.0118,0.0111,8
((((hgb**2)) + (plt)) + (mch)) / (abs((rbc**2))+1e-6),0.6157,0.0159,0.0148,0.5933,0.0289,0.0672,0.0171,0.0157,0.0125,4
(sqrt(abs(hct))) - ((rbc**2)),0.5858,0.0159,0.0128,0.7,0.0252,0.0598,0.0128,0.0132,0.0127,2
((((((log(abs(wbc)+1)) + (sqrt(abs(plt)))) / (abs(log(abs(hgb)+1))+1e-6)) * ((mch**2))) * (hct)) / (abs((rbc**2))+1e-6)) + (log(abs(mchc)+1)),0.6044,0.0159,0.0137,0.5733,0.0267,0.0624,0.0158,0.0141,0.0124,7
(((((((rdw) + ((rbc**2))) / (abs(sqrt(abs(plt)))+1e-6)) / (abs((hgb**2))+1e-6)) - (log(abs(mch)+1))) * (sqrt(abs(mcv)))) + (log(abs(mchc)+1))) / (abs(log(abs(hct)+1))+1e-6),0.5685,0.0158,0.0122,0.5,0.0238,0.0555,0.0143,0.0123,0.0115,8
(((((((log(abs(mcv)+1)) * ((mchc**2))) * (hct)) / (abs(log(abs(hgb)+1))+1e-6)) - (log(abs(plt)+1))) / (abs((rbc**2))+1e-6)) * (mch)) - (sqrt(abs(rdw))),0.581,0.0158,0.0131,0.4367,0.0254,0.0584,0.0147,0.0126,0.0119,8
((((((((sqrt(abs(hct))) + (rdw)) + (sqrt(abs(wbc)))) - (log(abs(mcv)+1))) * (sqrt(abs(mch)))) + (plt)) - ((hgb**2))) + ((mchc**2))) - (log(abs(rbc)+1)),0.6131,0.0158,0.0154,0.5767,0.03,0.0696,0.02,0.0158,0.0119,9
(sqrt(abs(mcv))) - (sqrt(abs(hct))),0.5809,0.0158,0.0127,0.7133,0.0249,0.0592,0.0128,0.0131,0.0121,2
(((log(abs(mcv)+1)) + (log(abs(plt)+1))) - (sqrt(abs(hct)))) * (log(abs(mch)+1)),0.6118,0.0158,0.014,0.6767,0.0275,0.0648,0.0165,0.0154,0.0126,4
(((((log(abs(wbc)+1)) - (sqrt(abs(plt)))) * (sqrt(abs(mchc)))) - (sqrt(abs(mch)))) / (abs(sqrt(abs(rbc)))+1e-6)) - (sqrt(abs(mcv))),0.6078,0.0158,0.0148,0.5433,0.0288,0.0667,0.0173,0.015,0.0122,6
((((mcv) * (plt)) * (log(abs(hgb)+1))) / (abs((rbc**2))+1e-6)) - (mch),0.6126,0.0158,0.0146,0.5667,0.0285,0.0663,0.0187,0.0149,0.0126,5
((((((hct**2)) / (abs(mch)+1e-6)) / (abs((plt**2))+1e-6)) + (log(abs(mcv)+1))) / (abs((rbc**2))+1e-6)) * (log(abs(wbc)+1)),0.571,0.0158,0.0122,0.7667,0.0239,0.0571,0.0124,0.0127,0.0119,6
(((sqrt(abs(rdw))) * ((rbc**2))) - (mch)) / (abs(mchc)+1e-6),0.574,0.0158,0.0123,0.7133,0.0242,0.0575,0.0123,0.0131,0.012,4
((((((mcv**2)) / (abs((rbc**2))+1e-6)) / (abs(sqrt(abs(rdw)))+1e-6)) / (abs(mchc)+1e-6)) + (sqrt(abs(plt)))) / (abs(log(abs(hct)+1))+1e-6),0.5919,0.0158,0.0134,0.57,0.0262,0.0613,0.0148,0.0141,0.0121,6
((((log(abs(mcv)+1)) - ((rbc**2))) + (sqrt(abs(plt)))) / (abs(sqrt(abs(hct)))+1e-6)) * ((mch**2)),0.6164,0.0158,0.0145,0.6533,0.0284,0.0666,0.0165,0.0153,0.0131,5
