formula,train_auc_pr,cv_auc_pr_mean,cv_auc_pr_std,cv_auc_pr_ci95_low,cv_auc_pr_ci95_high,frozen_test_auc_pr
(((((((((((((sqrt(abs(plt))) / (abs(sqrt(abs(hgb)))+1e-6)) * ((eos_pct**2))) + (log(abs(rbc)+1))) - (log(abs(hct)+1))) / (abs(sqrt(abs(lym_pct)))+1e-6)) + (wbc)) * (rdw)) / (abs((baso_pct**2))+1e-6)) + (log(abs(mchc)+1))) * ((mcv**2))) + (sqrt(abs(mch)))) / (abs((neut_pct**2))+1e-6)) * (sqrt(abs(mono_pct))),0.014612991861786353,0.015877,0.007911,0.000372,0.031382,
((((((((((((neut_pct) - (sqrt(abs(hct)))) - (sqrt(abs(rbc)))) + ((lym_pct**2))) * (mono_pct)) / (abs(eos_pct)+1e-6)) / (abs((mcv**2))+1e-6)) + (log(abs(mch)+1))) + ((wbc**2))) + (hgb)) - (sqrt(abs(mchc)))) / (abs(sqrt(abs(plt)))+1e-6)) * (log(abs(baso_pct)+1)),0.014875053701269703,0.01587,0.007678,0.000822,0.030919,
(((((((((((sqrt(abs(rbc))) - (hgb)) + (log(abs(mcv)+1))) - (sqrt(abs(plt)))) - (sqrt(abs(mchc)))) / (abs(sqrt(abs(neut_pct)))+1e-6)) + (baso_pct)) + (log(abs(hct)+1))) * (rdw)) * ((lym_pct**2))) / (abs(eos_pct)+1e-6)) + (sqrt(abs(mono_pct))),0.015030878318461467,0.01572,0.006091,0.003782,0.027659,
(((((((((sqrt(abs(eos_pct))) * ((plt**2))) - (sqrt(abs(hgb)))) / (abs(log(abs(baso_pct)+1))+1e-6)) / (abs(mchc)+1e-6)) / (abs(sqrt(abs(rbc)))+1e-6)) / (abs(sqrt(abs(mono_pct)))+1e-6)) / (abs(log(abs(wbc)+1))+1e-6)) - ((mch**2))) / (abs(log(abs(mcv)+1))+1e-6),0.014560920504286031,0.015595,0.005815,0.004198,0.026992,
(((((log(abs(mch)+1)) - (log(abs(wbc)+1))) / (abs(neut_pct)+1e-6)) * (mchc)) + (log(abs(lym_pct)+1))) - ((eos_pct**2)),0.014474582010245882,0.015547,0.006556,0.002698,0.028396,
(((((((((log(abs(mchc)+1)) - ((mono_pct**2))) / (abs(sqrt(abs(hgb)))+1e-6)) + (log(abs(lym_pct)+1))) * (wbc)) * (log(abs(baso_pct)+1))) * (log(abs(eos_pct)+1))) / (abs((neut_pct**2))+1e-6)) * (log(abs(plt)+1))) - ((mcv**2)),0.01452275064691479,0.015545,0.007647,0.000557,0.030532,
(((((((((log(abs(mchc)+1)) / (abs((baso_pct**2))+1e-6)) - (log(abs(plt)+1))) * ((rdw**2))) - (eos_pct)) - (mcv)) / (abs((neut_pct**2))+1e-6)) * (sqrt(abs(lym_pct)))) * (hgb)) - (sqrt(abs(wbc))),0.014508640147785933,0.015431,0.007438,0.000853,0.030009,
((((((mch**2)) / (abs((mcv**2))+1e-6)) * ((baso_pct**2))) - (sqrt(abs(mono_pct)))) + (rdw)) / (abs(sqrt(abs(neut_pct)))+1e-6),0.014631368307809341,0.015401,0.007005,0.00167,0.029132,
((((((((((sqrt(abs(mchc))) + (log(abs(rbc)+1))) * ((rdw**2))) * (mch)) / (abs((lym_pct**2))+1e-6)) - ((wbc**2))) / (abs((neut_pct**2))+1e-6)) / (abs(sqrt(abs(plt)))+1e-6)) * ((mono_pct**2))) - (log(abs(hgb)+1))) - (sqrt(abs(mcv))),0.014525745180611097,0.015371,0.006561,0.002512,0.028231,
(((((((((sqrt(abs(mch))) - (sqrt(abs(plt)))) * (sqrt(abs(rdw)))) - (log(abs(rbc)+1))) * (wbc)) + ((mono_pct**2))) * (log(abs(eos_pct)+1))) / (abs(sqrt(abs(mchc)))+1e-6)) * (sqrt(abs(hgb)))) / (abs((neut_pct**2))+1e-6),0.0146713988226603,0.015357,0.005978,0.003639,0.027074,
(((((((hct) - (sqrt(abs(mchc)))) + (rbc)) - (wbc)) * ((mcv**2))) * (mono_pct)) * (sqrt(abs(lym_pct)))) / (abs(neut_pct)+1e-6),0.014417598409654482,0.015147,0.007196,0.001042,0.029252,
(((rdw**2)) / (abs((baso_pct**2))+1e-6)) / (abs(log(abs(neut_pct)+1))+1e-6),0.014433726995843162,0.015132,0.007439,0.000553,0.029712,
((((mcv) * (wbc)) / (abs(neut_pct)+1e-6)) + ((rdw**2))) + ((mchc**2)),0.01447317385907154,0.015016,0.007197,0.00091,0.029123,
