formula,auc_roc,auc_pr,precision,recall,f1,f2,precision_at_recall_25,precision_at_recall_50,precision_at_recall_75,num_features
((mch) * (log(abs(mchc)+1))) + (sqrt(abs(wbc))),0.5378,0.0137,0.0057,0.4259,0.0112,0.027,0.0067,0.006,0.0062,3
(hgb) - (mch),0.5361,0.0136,0.0058,0.3889,0.0114,0.0273,0.0065,0.006,0.0059,2
(((wbc**2)) + (mcv)) - ((mch**2)),0.5311,0.0136,0.0065,0.4136,0.0128,0.0307,0.0069,0.0062,0.0057,3
(sqrt(abs(rbc))) / (abs((mch**2))+1e-6),0.5306,0.0136,0.0059,0.5741,0.0117,0.0285,0.0071,0.0056,0.006,2
((mch**2)) * (log(abs(mchc)+1)),0.5329,0.0136,0.0058,0.4012,0.0115,0.0275,0.0066,0.006,0.0061,2
((mch) / (abs(log(abs(hgb)+1))+1e-6)) + (rbc),0.5143,0.0136,0.0058,0.3395,0.0113,0.027,0.0053,0.0058,0.0058,3
(((((((log(abs(rbc)+1)) * ((mch**2))) * (sqrt(abs(hct)))) - (sqrt(abs(rdw)))) - (sqrt(abs(mcv)))) + (log(abs(wbc)+1))) - (log(abs(mchc)+1))) / (abs(hgb)+1e-6),0.514,0.0136,0.0058,0.5432,0.0114,0.0277,0.0061,0.0057,0.0059,8
((((((((plt) / (abs(sqrt(abs(wbc)))+1e-6)) + (sqrt(abs(mchc)))) / (abs((rdw**2))+1e-6)) * (sqrt(abs(hct)))) - (mcv)) + ((mch**2))) / (abs(log(abs(rbc)+1))+1e-6)) + (log(abs(hgb)+1)),0.5312,0.0136,0.0056,0.463,0.011,0.0267,0.007,0.0055,0.006,9
((((((log(abs(mchc)+1)) * (log(abs(wbc)+1))) - (sqrt(abs(hgb)))) + ((mch**2))) / (abs(log(abs(rbc)+1))+1e-6)) / (abs(log(abs(hct)+1))+1e-6)) * (log(abs(rdw)+1)),0.5497,0.0136,0.0061,0.7099,0.012,0.0293,0.0071,0.0063,0.006,7
(((((((((rbc**2)) * (sqrt(abs(rdw)))) - (mch)) * ((hct**2))) - (log(abs(mchc)+1))) + (log(abs(wbc)+1))) / (abs((hgb**2))+1e-6)) + (sqrt(abs(plt)))) / (abs(mcv)+1e-6),0.5298,0.0136,0.0059,0.4012,0.0116,0.0278,0.0057,0.0061,0.0059,9
(((((log(abs(rbc)+1)) - (log(abs(rdw)+1))) - (log(abs(mcv)+1))) + (mchc)) / (abs(log(abs(plt)+1))+1e-6)) - (mch),0.5149,0.0136,0.0057,0.3951,0.0113,0.027,0.006,0.0057,0.0055,6
(((sqrt(abs(mchc))) + ((mch**2))) - (sqrt(abs(hgb)))) / (abs(log(abs(rbc)+1))+1e-6),0.5295,0.0136,0.0059,0.5494,0.0116,0.0282,0.007,0.0054,0.0059,4
((((rdw) + (sqrt(abs(mcv)))) - (hgb)) / (abs((rbc**2))+1e-6)) + (mch),0.5283,0.0136,0.0055,0.4568,0.0108,0.0261,0.0062,0.0058,0.006,5
((mch**2)) / (abs(sqrt(abs(rbc)))+1e-6),0.5306,0.0136,0.0059,0.5741,0.0117,0.0285,0.0071,0.0056,0.006,2
(((mch**2)) + (log(abs(rbc)+1))) * (log(abs(mchc)+1)),0.5329,0.0136,0.0058,0.4012,0.0115,0.0275,0.0066,0.006,0.0061,3
(sqrt(abs(mch))) - (sqrt(abs(rbc))),0.5329,0.0136,0.0059,0.4259,0.0116,0.0278,0.0072,0.0059,0.0057,2
((((sqrt(abs(wbc))) + ((mch**2))) + (hct)) - (log(abs(rbc)+1))) * (log(abs(mchc)+1)),0.5318,0.0136,0.0058,0.3889,0.0115,0.0275,0.0063,0.006,0.0061,5
((((((((plt**2)) + (hct)) / (abs((mcv**2))+1e-6)) * (sqrt(abs(rdw)))) - ((mch**2))) + ((hgb**2))) + (mchc)) / (abs(rbc)+1e-6),0.5255,0.0136,0.0056,0.4074,0.011,0.0263,0.0063,0.006,0.0057,8
(log(abs(rbc)+1)) / (abs((mch**2))+1e-6),0.5294,0.0136,0.0059,0.5494,0.0116,0.0282,0.007,0.0054,0.006,2
((((((sqrt(abs(hct))) - (log(abs(rdw)+1))) * (mcv)) + ((mchc**2))) * (log(abs(mch)+1))) + (sqrt(abs(plt)))) / (abs(rbc)+1e-6),0.5627,0.0136,0.0067,0.5185,0.0132,0.0319,0.0071,0.0067,0.0062,7
(((log(abs(hgb)+1)) / (abs(hct)+1e-6)) * (sqrt(abs(mchc)))) * ((rbc**2)),0.5132,0.0136,0.0046,0.0864,0.0088,0.0191,0.0058,0.0059,0.0058,4
((((((((log(abs(rdw)+1)) - (log(abs(rbc)+1))) * (log(abs(mchc)+1))) + (sqrt(abs(wbc)))) + (plt)) + (log(abs(hct)+1))) + (hgb)) / (abs((mcv**2))+1e-6)) + (mch),0.5274,0.0135,0.0058,0.3889,0.0114,0.0272,0.006,0.0058,0.006,9
(mch) + (log(abs(hgb)+1)),0.5265,0.0135,0.0057,0.3889,0.0112,0.0269,0.0062,0.0058,0.006,2
((((hgb) * (plt)) / (abs((mchc**2))+1e-6)) - (sqrt(abs(mcv)))) - ((mch**2)),0.5264,0.0135,0.0059,0.3889,0.0116,0.0278,0.0063,0.0059,0.006,5
((mch**2)) - (log(abs(hgb)+1)),0.527,0.0135,0.0058,0.4012,0.0115,0.0275,0.0063,0.0059,0.006,2
(((log(abs(rdw)+1)) + (sqrt(abs(mcv)))) + ((mch**2))) / (abs(sqrt(abs(hgb)))+1e-6),0.5309,0.0135,0.0058,0.4259,0.0115,0.0276,0.0071,0.0058,0.006,4
