formula,auc_roc,auc_pr,precision,recall,f1,f2,precision_at_recall_25,precision_at_recall_50,precision_at_recall_75,num_features
((log(abs(hgb)+1)) + (log(abs(mcv)+1))) + (sqrt(abs(rdw))),0.5714,0.0174,0.0139,0.4906,0.0269,0.0622,0.0159,0.0135,0.0123,3
((((((((rbc) / (abs((mcv**2))+1e-6)) + ((hct**2))) / (abs(wbc)+1e-6)) + ((mchc**2))) - (log(abs(hgb)+1))) * (sqrt(abs(plt)))) / (abs(sqrt(abs(rdw)))+1e-6)) * (log(abs(mch)+1)),0.6196,0.0174,0.0156,0.6125,0.0304,0.0707,0.0187,0.016,0.0135,9
((((((((plt**2)) / (abs(log(abs(rbc)+1))+1e-6)) * ((mch**2))) / (abs(rdw)+1e-6)) * (sqrt(abs(hgb)))) / (abs(log(abs(wbc)+1))+1e-6)) - (hct)) / (abs((mcv**2))+1e-6),0.626,0.0173,0.0164,0.4906,0.0318,0.0724,0.019,0.0165,0.0137,8
((((((rdw**2)) + ((wbc**2))) - (plt)) / (abs(sqrt(abs(hgb)))+1e-6)) + (rbc)) * (sqrt(abs(hct))),0.6142,0.0173,0.0176,0.3937,0.0337,0.0746,0.0208,0.0154,0.0126,6
((((((((sqrt(abs(hgb))) * (log(abs(wbc)+1))) - ((mchc**2))) + ((hct**2))) / (abs((rdw**2))+1e-6)) + (sqrt(abs(mcv)))) / (abs((mch**2))+1e-6)) / (abs(log(abs(rbc)+1))+1e-6)) / (abs((plt**2))+1e-6),0.6356,0.0173,0.0175,0.5844,0.034,0.0782,0.0191,0.0181,0.014,9
((((sqrt(abs(hct))) / (abs(sqrt(abs(rbc)))+1e-6)) * ((wbc**2))) - (plt)) - ((mchc**2)),0.6034,0.0173,0.0157,0.4562,0.0304,0.0691,0.0202,0.0151,0.0127,5
(((((wbc**2)) / (abs(sqrt(abs(mch)))+1e-6)) - ((mchc**2))) * (plt)) + ((rdw**2)),0.6309,0.0173,0.018,0.525,0.0348,0.0792,0.019,0.0175,0.014,5
(((((hct) + (sqrt(abs(hgb)))) * (sqrt(abs(rdw)))) / (abs(sqrt(abs(plt)))+1e-6)) + (sqrt(abs(mcv)))) - (sqrt(abs(mch))),0.6362,0.0173,0.0174,0.5875,0.0338,0.0778,0.0207,0.0175,0.0139,6
((((((hct**2)) / (abs(wbc)+1e-6)) + (sqrt(abs(hgb)))) - (plt)) - ((mchc**2))) - (log(abs(mcv)+1)),0.6336,0.0173,0.0175,0.5031,0.0338,0.0767,0.0179,0.0173,0.0142,6
((((((rbc**2)) / (abs(log(abs(hct)+1))+1e-6)) * (sqrt(abs(plt)))) / (abs((rdw**2))+1e-6)) * (mch)) / (abs((hgb**2))+1e-6),0.5978,0.0173,0.0167,0.4531,0.0322,0.0727,0.0172,0.0147,0.0124,6
(((((((log(abs(mcv)+1)) + (sqrt(abs(mch)))) + (plt)) - (hgb)) - (log(abs(wbc)+1))) * ((mchc**2))) / (abs(sqrt(abs(rbc)))+1e-6)) / (abs(hct)+1e-6),0.6404,0.0172,0.0166,0.6469,0.0324,0.0753,0.021,0.0181,0.0141,8
(((((((log(abs(mchc)+1)) - (log(abs(wbc)+1))) + (plt)) + (sqrt(abs(mch)))) / (abs(rdw)+1e-6)) - (hct)) / (abs(log(abs(rbc)+1))+1e-6)) * ((mcv**2)),0.6279,0.0172,0.0157,0.7,0.0307,0.0719,0.0205,0.017,0.0141,8
((((((((log(abs(mch)+1)) + (mcv)) * (rdw)) - ((hgb**2))) - ((plt**2))) / (abs((rbc**2))+1e-6)) * ((mchc**2))) / (abs(sqrt(abs(wbc)))+1e-6)) * (hct),0.6309,0.0172,0.017,0.45,0.0328,0.074,0.0195,0.0167,0.0138,9
((sqrt(abs(plt))) - (sqrt(abs(wbc)))) / (abs(rdw)+1e-6),0.6164,0.0172,0.0166,0.4406,0.0319,0.072,0.0188,0.0166,0.0132,3
((((((((hct**2)) / (abs(log(abs(hgb)+1))+1e-6)) + ((wbc**2))) + (rbc)) - (sqrt(abs(mch)))) / (abs((plt**2))+1e-6)) / (abs(mcv)+1e-6)) / (abs(sqrt(abs(mchc)))+1e-6),0.6316,0.0172,0.0168,0.525,0.0325,0.0743,0.0203,0.0167,0.0138,8
((((((sqrt(abs(hgb))) / (abs(sqrt(abs(mch)))+1e-6)) * (log(abs(mcv)+1))) - (plt)) + ((rdw**2))) / (abs(log(abs(wbc)+1))+1e-6)) - ((mchc**2)),0.6173,0.0172,0.0152,0.6469,0.0297,0.0696,0.0195,0.016,0.013,7
((((((((sqrt(abs(mcv))) - ((mch**2))) / (abs(sqrt(abs(hgb)))+1e-6)) / (abs(rbc)+1e-6)) / (abs((rdw**2))+1e-6)) * ((plt**2))) - (hct)) - (mchc)) + ((wbc**2)),0.6287,0.0172,0.0177,0.5563,0.0342,0.0784,0.0191,0.0173,0.0134,9
((((mcv) / (abs(log(abs(rbc)+1))+1e-6)) * (sqrt(abs(plt)))) + (wbc)) + ((mchc**2)),0.6411,0.0172,0.0171,0.5969,0.0333,0.0768,0.0182,0.0177,0.0142,5
(((((((sqrt(abs(mchc))) + (plt)) - (hct)) / (abs(log(abs(wbc)+1))+1e-6)) - (log(abs(rdw)+1))) / (abs((mcv**2))+1e-6)) * (hgb)) / (abs(rbc)+1e-6),0.6241,0.0171,0.0175,0.425,0.0336,0.0751,0.0196,0.016,0.0138,8
(((((((mch) * (sqrt(abs(hgb)))) * (sqrt(abs(plt)))) + (sqrt(abs(wbc)))) / (abs(hct)+1e-6)) - (rbc)) + (mchc)) / (abs((mcv**2))+1e-6),0.6367,0.0171,0.0173,0.6,0.0336,0.0775,0.0218,0.0185,0.0141,8
((((((((log(abs(hgb)+1)) * (sqrt(abs(hct)))) / (abs(sqrt(abs(plt)))+1e-6)) * ((rdw**2))) * (mchc)) - (sqrt(abs(wbc)))) * ((mcv**2))) + (rbc)) + (sqrt(abs(mch))),0.6068,0.0171,0.0171,0.4969,0.0331,0.0751,0.0187,0.0158,0.0126,9
(sqrt(abs(rdw))) / (abs(log(abs(plt)+1))+1e-6),0.6036,0.0171,0.0172,0.3906,0.0329,0.073,0.0171,0.0151,0.0126,2
((((((((mcv) / (abs(mch)+1e-6)) / (abs(mchc)+1e-6)) / (abs(sqrt(abs(hct)))+1e-6)) - (log(abs(hgb)+1))) * (log(abs(rbc)+1))) - (sqrt(abs(wbc)))) / (abs(sqrt(abs(plt)))+1e-6)) - (sqrt(abs(rdw))),0.5919,0.0171,0.0152,0.5156,0.0295,0.0679,0.0165,0.0143,0.0123,9
(((((((sqrt(abs(plt))) * (sqrt(abs(mcv)))) / (abs(sqrt(abs(hgb)))+1e-6)) * ((mchc**2))) - (log(abs(mch)+1))) + (sqrt(abs(wbc)))) * (sqrt(abs(hct)))) - (sqrt(abs(rbc))),0.6324,0.0171,0.0176,0.6219,0.0343,0.0792,0.0167,0.0174,0.014,8
(((log(abs(mchc)+1)) - (rdw)) / (abs(log(abs(mch)+1))+1e-6)) + (log(abs(plt)+1)),0.5954,0.0171,0.0163,0.4156,0.0313,0.0703,0.0168,0.0146,0.0123,4
(((((log(abs(rbc)+1)) + (hgb)) - ((mchc**2))) + (wbc)) / (abs((rdw**2))+1e-6)) * ((plt**2)),0.6204,0.0171,0.0172,0.4188,0.0331,0.0739,0.0195,0.0166,0.0133,6
(((((rdw**2)) + (sqrt(abs(hct)))) / (abs(sqrt(abs(mch)))+1e-6)) / (abs((plt**2))+1e-6)) * (sqrt(abs(wbc))),0.6203,0.0171,0.0164,0.4406,0.0317,0.0715,0.0193,0.0161,0.0134,5
(((sqrt(abs(hct))) + (log(abs(mch)+1))) + (rdw)) - (sqrt(abs(plt))),0.6155,0.017,0.0173,0.4562,0.0332,0.0749,0.0197,0.0163,0.0129,4
((((((log(abs(rbc)+1)) + (hgb)) - (mch)) * ((plt**2))) - ((hct**2))) + (sqrt(abs(wbc)))) / (abs((rdw**2))+1e-6),0.6237,0.017,0.0157,0.6469,0.0307,0.0717,0.0186,0.0165,0.0132,7
((((((((mcv) / (abs(wbc)+1e-6)) / (abs(log(abs(hct)+1))+1e-6)) - (plt)) + ((rdw**2))) * ((mch**2))) / (abs(sqrt(abs(hgb)))+1e-6)) * ((mchc**2))) + (log(abs(rbc)+1)),0.6092,0.017,0.0179,0.4,0.0343,0.076,0.0193,0.0157,0.0127,9
(((((mch) + ((wbc**2))) / (abs(sqrt(abs(rdw)))+1e-6)) / (abs(mchc)+1e-6)) * (rbc)) - (sqrt(abs(plt))),0.6183,0.017,0.0164,0.5594,0.0319,0.0734,0.02,0.0165,0.0133,6
(((((((log(abs(mcv)+1)) - (mch)) / (abs(log(abs(wbc)+1))+1e-6)) * (plt)) + ((rbc**2))) + (hgb)) + (hct)) / (abs(log(abs(rdw)+1))+1e-6),0.6239,0.017,0.0169,0.4906,0.0326,0.0742,0.019,0.0167,0.0138,8
