formula,auc_roc,auc_pr,precision,recall,f1,f2,precision_at_recall_25,precision_at_recall_50,precision_at_recall_75,num_features
(((((((((((mchc**2)) * (sqrt(abs(neut_pct)))) + (sqrt(abs(rbc)))) - (mcv)) - (lym_pct)) / (abs((rdw**2))+1e-6)) - (sqrt(abs(mch)))) * (wbc)) + (eos_pct)) * (sqrt(abs(hgb)))) / (abs(sqrt(abs(baso_pct)))+1e-6),0.5304,0.0164,0.006,0.2593,0.0117,0.0274,0.0047,0.0029,0.0036,11
(((((((((rdw**2)) / (abs((baso_pct**2))+1e-6)) + (mchc)) + (sqrt(abs(neut_pct)))) / (abs(log(abs(rbc)+1))+1e-6)) / (abs(sqrt(abs(mono_pct)))+1e-6)) / (abs(sqrt(abs(mcv)))+1e-6)) / (abs(sqrt(abs(plt)))+1e-6)) * (log(abs(mch)+1)),0.5358,0.0162,0.0038,0.4444,0.0076,0.0185,0.0036,0.0042,0.0034,9
(((((((((((log(abs(eos_pct)+1)) - (sqrt(abs(hct)))) - (log(abs(baso_pct)+1))) / (abs(rdw)+1e-6)) + ((neut_pct**2))) - (hgb)) + (sqrt(abs(mono_pct)))) - (mchc)) * (mcv)) + (rbc)) - (lym_pct)) + (sqrt(abs(plt))),0.5206,0.016,0.0044,0.1481,0.0086,0.0198,0.0045,0.0034,0.0034,12
((((((sqrt(abs(eos_pct))) + ((mchc**2))) + (baso_pct)) - ((neut_pct**2))) * (rdw)) + (sqrt(abs(mch)))) / (abs(sqrt(abs(lym_pct)))+1e-6),0.5218,0.016,0.0027,0.0741,0.0051,0.0116,0.0035,0.0032,0.0035,7
((((((hct) - (log(abs(lym_pct)+1))) - (log(abs(plt)+1))) / (abs(wbc)+1e-6)) + (log(abs(neut_pct)+1))) - (sqrt(abs(mchc)))) * (mch),0.5167,0.016,0.0041,0.3704,0.0081,0.0196,0.0045,0.0038,0.0032,7
((((log(abs(mch)+1)) - (neut_pct)) - (sqrt(abs(lym_pct)))) * (rbc)) - (mono_pct),0.5143,0.016,0.0035,0.4074,0.0069,0.0169,0.0037,0.0031,0.0033,5
(((((sqrt(abs(mchc))) + ((neut_pct**2))) * (mcv)) + (eos_pct)) + (log(abs(hct)+1))) + ((lym_pct**2)),0.5207,0.016,0.0044,0.1481,0.0086,0.0197,0.0045,0.0034,0.0034,6
((neut_pct) + (sqrt(abs(lym_pct)))) * (log(abs(baso_pct)+1)),0.5032,0.0159,0.0043,0.2593,0.0084,0.0201,0.0043,0.0035,0.0034,3
(((((log(abs(mchc)+1)) / (abs(sqrt(abs(rdw)))+1e-6)) * ((neut_pct**2))) * (log(abs(rbc)+1))) + ((lym_pct**2))) + (baso_pct),0.5053,0.0159,0.0035,1.0,0.007,0.0173,0.0029,0.0032,0.0038,6
((((((sqrt(abs(hct))) + (sqrt(abs(plt)))) / (abs(log(abs(mcv)+1))+1e-6)) - (sqrt(abs(eos_pct)))) - (mono_pct)) + (sqrt(abs(rdw)))) - ((neut_pct**2)),0.5011,0.0158,0.0032,0.1111,0.0062,0.0143,0.0031,0.0033,0.0035,7
((((((sqrt(abs(neut_pct))) + (lym_pct)) + (sqrt(abs(plt)))) * ((mchc**2))) / (abs(sqrt(abs(mcv)))+1e-6)) / (abs(sqrt(abs(hgb)))+1e-6)) * (log(abs(eos_pct)+1)),0.5039,0.0158,0.003,0.3333,0.0059,0.0144,0.0016,0.0038,0.0033,7
((((neut_pct**2)) + (log(abs(lym_pct)+1))) + (sqrt(abs(mcv)))) / (abs(log(abs(mchc)+1))+1e-6),0.5012,0.0158,0.0032,0.1111,0.0063,0.0144,0.0032,0.0035,0.0035,4
(((((((((((((sqrt(abs(hct))) * (wbc)) - (sqrt(abs(mcv)))) / (abs(sqrt(abs(neut_pct)))+1e-6)) * (log(abs(baso_pct)+1))) + (sqrt(abs(mchc)))) - (rbc)) - (lym_pct)) / (abs(log(abs(eos_pct)+1))+1e-6)) * ((mch**2))) / (abs(sqrt(abs(mono_pct)))+1e-6)) - ((hgb**2))) + ((plt**2))) - (rdw),0.5909,0.0155,0.0064,0.3333,0.0125,0.0296,0.0074,0.0044,0.0036,14
((((((((((((sqrt(abs(hct))) - (mch)) / (abs(sqrt(abs(rdw)))+1e-6)) / (abs(sqrt(abs(mchc)))+1e-6)) * (wbc)) * ((hgb**2))) + ((lym_pct**2))) / (abs(mono_pct)+1e-6)) / (abs(log(abs(neut_pct)+1))+1e-6)) + ((eos_pct**2))) + ((mcv**2))) + (sqrt(abs(rbc)))) - (log(abs(baso_pct)+1)),0.6465,0.0151,0.0049,0.7407,0.0097,0.0237,0.0067,0.0046,0.0043,13
(((((((((((((lym_pct**2)) * (hgb)) + (log(abs(wbc)+1))) * ((mch**2))) * ((eos_pct**2))) + (mchc)) + (log(abs(mcv)+1))) + (log(abs(baso_pct)+1))) + (sqrt(abs(rbc)))) / (abs((rdw**2))+1e-6)) * (plt)) + (mono_pct)) / (abs(hct)+1e-6),0.5429,0.0149,0.0038,0.4444,0.0076,0.0184,0.0038,0.0038,0.0035,13
(((hct**2)) * (sqrt(abs(mono_pct)))) - (rdw),0.6319,0.0147,0.0048,0.8519,0.0096,0.0235,0.0064,0.0054,0.0048,3
((((((neut_pct) * (sqrt(abs(hgb)))) / (abs(log(abs(rbc)+1))+1e-6)) * (sqrt(abs(mch)))) + (log(abs(hct)+1))) * ((mono_pct**2))) - (sqrt(abs(rdw))),0.6213,0.0146,0.0054,0.6667,0.0106,0.026,0.0065,0.006,0.0047,7
