formula,auc_roc,auc_pr,precision,recall,f1,f2,precision_at_recall_25,precision_at_recall_50,precision_at_recall_75,num_features
(((((((sqrt(abs(hgb))) * ((hct**2))) / (abs((mchc**2))+1e-6)) + (sqrt(abs(mch)))) * (sqrt(abs(rbc)))) * (mcv)) * (log(abs(rdw)+1))) / (abs((plt**2))+1e-6),0.6359,0.0213,0.0151,0.5088,0.0293,0.0675,0.022,0.0156,0.0128,8
((mchc**2)) * (sqrt(abs(plt))),0.6548,0.0213,0.017,0.5548,0.0329,0.0755,0.0195,0.0176,0.0135,2
(((((log(abs(rbc)+1)) + (mch)) / (abs(hgb)+1e-6)) - (sqrt(abs(plt)))) + (sqrt(abs(rdw)))) / (abs(hct)+1e-6),0.6351,0.0213,0.0147,0.5512,0.0286,0.0663,0.0214,0.0156,0.0128,6
((((((((sqrt(abs(mch))) + (log(abs(wbc)+1))) + (log(abs(rbc)+1))) - (rdw)) + ((mcv**2))) + (hct)) / (abs(plt)+1e-6)) / (abs(sqrt(abs(hgb)))+1e-6)) / (abs((mchc**2))+1e-6),0.6429,0.0212,0.0157,0.5724,0.0305,0.0706,0.0207,0.0161,0.0135,9
(((sqrt(abs(hct))) - (log(abs(mchc)+1))) + ((mcv**2))) / (abs(sqrt(abs(plt)))+1e-6),0.6268,0.0212,0.0135,0.5972,0.0265,0.0621,0.0208,0.0146,0.0132,4
((((mcv**2)) - (sqrt(abs(hct)))) + ((rbc**2))) / (abs(sqrt(abs(plt)))+1e-6),0.6269,0.0212,0.0135,0.5972,0.0265,0.062,0.0208,0.0146,0.0132,4
((((((((rdw**2)) - (sqrt(abs(mch)))) + ((mcv**2))) * (log(abs(hgb)+1))) + (rbc)) / (abs(sqrt(abs(hct)))+1e-6)) / (abs(sqrt(abs(plt)))+1e-6)) * (log(abs(wbc)+1)),0.6022,0.0212,0.0133,0.5583,0.0259,0.0605,0.0221,0.0149,0.0117,8
((((((((log(abs(hgb)+1)) * (plt)) - (sqrt(abs(wbc)))) / (abs(rdw)+1e-6)) / (abs(sqrt(abs(hct)))+1e-6)) + (log(abs(mch)+1))) - (rbc)) / (abs(mcv)+1e-6)) * (mchc),0.6436,0.0212,0.0153,0.5053,0.0296,0.068,0.0212,0.0166,0.0132,9
((((sqrt(abs(rdw))) * (mcv)) / (abs(log(abs(hct)+1))+1e-6)) + ((hgb**2))) / (abs(plt)+1e-6),0.6209,0.0212,0.015,0.4664,0.0291,0.0665,0.02,0.0152,0.012,5
(((log(abs(hct)+1)) - (mchc)) * (log(abs(mcv)+1))) * (log(abs(plt)+1)),0.6445,0.0212,0.0164,0.523,0.0317,0.0727,0.0184,0.0168,0.0132,4
(((((hct**2)) / (abs(plt)+1e-6)) + (sqrt(abs(mch)))) + (log(abs(mchc)+1))) - (sqrt(abs(rbc))),0.62,0.0212,0.0136,0.6113,0.0266,0.0624,0.0185,0.015,0.0122,5
((mcv) / (abs(log(abs(plt)+1))+1e-6)) + (log(abs(wbc)+1)),0.619,0.0212,0.0136,0.5936,0.0265,0.0621,0.021,0.0152,0.0123,3
((((((sqrt(abs(mcv))) - (sqrt(abs(plt)))) + (rdw)) - (log(abs(hgb)+1))) + (hct)) - (sqrt(abs(rbc)))) * (sqrt(abs(mch))),0.5927,0.0211,0.0124,0.5866,0.0243,0.0573,0.0171,0.0127,0.0115,7
((((((((plt) * (log(abs(mcv)+1))) / (abs(hct)+1e-6)) / (abs(sqrt(abs(hgb)))+1e-6)) * (rbc)) * (sqrt(abs(mchc)))) - (log(abs(rdw)+1))) - (log(abs(wbc)+1))) * (log(abs(mch)+1)),0.6356,0.0211,0.0151,0.4806,0.0292,0.067,0.0214,0.0147,0.0131,9
((plt) / (abs(sqrt(abs(mcv)))+1e-6)) / (abs(hct)+1e-6),0.6319,0.0211,0.0146,0.5265,0.0283,0.0656,0.0203,0.0155,0.0126,3
((((((mcv**2)) * ((rdw**2))) - (sqrt(abs(rbc)))) / (abs(sqrt(abs(plt)))+1e-6)) / (abs(log(abs(mch)+1))+1e-6)) * ((hgb**2)),0.5852,0.0211,0.0131,0.4346,0.0254,0.0584,0.0173,0.0129,0.0112,6
(((((mch) - (sqrt(abs(rdw)))) * (sqrt(abs(wbc)))) - ((mchc**2))) * ((plt**2))) / (abs(hct)+1e-6),0.6435,0.0209,0.0154,0.5618,0.03,0.0695,0.0209,0.0161,0.0133,6
(((hct**2)) / (abs((plt**2))+1e-6)) / (abs((mchc**2))+1e-6),0.6422,0.0209,0.0152,0.5265,0.0296,0.0681,0.0211,0.0159,0.0133,3
(((((mchc) * (mch)) * (log(abs(plt)+1))) / (abs(mcv)+1e-6)) + (rdw)) - (log(abs(hct)+1)),0.6524,0.0209,0.0145,0.7173,0.0284,0.067,0.0172,0.017,0.0135,6
(((((((rbc) / (abs(log(abs(mchc)+1))+1e-6)) / (abs(log(abs(hct)+1))+1e-6)) / (abs(mch)+1e-6)) / (abs(log(abs(wbc)+1))+1e-6)) * ((plt**2))) / (abs(sqrt(abs(rdw)))+1e-6)) / (abs(hgb)+1e-6),0.6188,0.0209,0.014,0.4594,0.0272,0.0624,0.0211,0.0153,0.0121,8
((((sqrt(abs(wbc))) * (sqrt(abs(hgb)))) * ((mch**2))) - (sqrt(abs(mcv)))) / (abs((plt**2))+1e-6),0.6161,0.0209,0.0162,0.4134,0.0311,0.0699,0.021,0.0154,0.0123,5
(sqrt(abs(mchc))) * (log(abs(plt)+1)),0.6502,0.0208,0.0165,0.5053,0.032,0.073,0.0204,0.0173,0.0134,2
((log(abs(plt)+1)) - (log(abs(mcv)+1))) / (abs(log(abs(rbc)+1))+1e-6),0.6323,0.0208,0.015,0.5265,0.0291,0.0672,0.0216,0.015,0.0128,3
(sqrt(abs(mchc))) + (log(abs(plt)+1)),0.6513,0.0208,0.0167,0.5159,0.0323,0.0738,0.0206,0.0171,0.0135,2
(((wbc**2)) + ((mcv**2))) / (abs((plt**2))+1e-6),0.6303,0.0208,0.014,0.5936,0.0273,0.0639,0.0221,0.0147,0.013,3
((((((log(abs(wbc)+1)) * (sqrt(abs(mcv)))) + (log(abs(rdw)+1))) - (sqrt(abs(mch)))) - (sqrt(abs(hgb)))) / (abs((plt**2))+1e-6)) * (hct),0.633,0.0208,0.0142,0.5194,0.0276,0.0639,0.021,0.0159,0.0129,7
((((((((sqrt(abs(wbc))) - ((hct**2))) / (abs(rbc)+1e-6)) + (plt)) / (abs(mch)+1e-6)) * (sqrt(abs(mcv)))) + (rdw)) + (sqrt(abs(hgb)))) + (sqrt(abs(mchc))),0.6319,0.0208,0.0152,0.4982,0.0296,0.0679,0.0201,0.0157,0.013,9
